activity,total_events,cases_involved,event_percentage
W_Completeren aanvraag,54850,7367,20.92
W_Nabellen offertes,52016,5015,19.84
W_Nabellen incomplete dossiers,25190,1647,9.61
W_Valideren aanvraag,20809,3254,7.94
W_Afhandelen leads,16566,4755,6.32
A_PARTLYSUBMITTED,13087,13087,4.99
A_SUBMITTED,13087,13087,4.99
A_DECLINED,7635,7635,2.91
A_PREACCEPTED,7367,7367,2.81
O_CREATED,7030,5015,2.68
O_SENT,7030,5015,2.68
O_SELECTED,7030,5015,2.68
A_ACCEPTED,5113,5113,1.95
A_FINALIZED,5015,5015,1.91
O_CANCELLED,3655,2660,1.39
O_SENT_BACK,3454,3254,1.32
A_CANCELLED,2807,2807,1.07
A_REGISTERED,2246,2246,0.86
A_ACTIVATED,2246,2246,0.86
A_APPROVED,2246,2246,0.86
O_ACCEPTED,2243,2243,0.86
O_DECLINED,802,802,0.31
W_Beoordelen fraude,664,108,0.25
W_Wijzigen contractgegevens,12,7,0.0
