resource,completed_workflow_events,cases_handled,unique_activities_handled
11181.0,2992,1736,5
10861.0,2754,1786,5
11180.0,2591,1578,5
10913.0,2574,1664,5
11169.0,2507,1713,5
11203.0,2432,1525,5
11119.0,2425,1662,5
10909.0,2395,1555,5
11189.0,2238,1424,5
11201.0,2216,1414,5
10609.0,2157,891,5
10982.0,2043,1344,5
10138.0,1904,1022,5
11122.0,1777,1061,5
11049.0,1643,1235,4
10972.0,1632,770,5
10881.0,1499,1026,5
11121.0,1495,942,5
10910.0,1446,986,5
11179.0,1446,1003,5
11000.0,1420,912,5
10809.0,1367,744,6
11003.0,1363,861,5
11259.0,1317,1093,5
10932.0,1304,1000,5
10629.0,1282,640,5
10899.0,1216,1033,5
10929.0,1191,675,5
11009.0,1118,719,5
10889.0,1093,786,5
10863.0,1091,746,5
10939.0,890,647,5
11019.0,778,567,5
11002.0,755,467,5
10912.0,740,536,5
11289.0,735,282,4
10933.0,660,405,4
10931.0,517,367,5
11302.0,405,262,5
10789.0,401,369,4
11299.0,375,278,5
11300.0,359,263,4
10935.0,354,265,5
11309.0,314,229,3
11319.0,296,204,4
10188.0,211,87,1
10228.0,211,175,5
10914.0,152,135,5
11001.0,82,60,4
10779.0,37,24,5
11079.0,20,16,5
11304.0,19,10,1
11339.0,17,13,3
10124.0,5,4,4
11254.0,3,2,1
11269.0,3,3,3
10125.0,2,1,1
10821.0,1,1,1
112.0,1,1,1
