duration_category,transition,transition_count,total_cases,transitions_per_case,mean_wait_days,median_wait_days,p95_wait_days
1 day,A_PARTLYSUBMITTED → A_DECLINED,78,408,0.19,1.45,1.5,1.68
1 day,A_PARTLYSUBMITTED → W_Afhandelen leads,44,408,0.11,0.69,0.52,1.68
1 day,A_PREACCEPTED → W_Completeren aanvraag,104,408,0.25,0.55,0.5,1.65
1 day,W_Completeren aanvraag → A_CANCELLED,85,408,0.21,0.35,0.17,1.03
1 day,W_Completeren aanvraag → A_DECLINED,153,408,0.38,0.35,0.16,1.11
1 day,W_Afhandelen leads → W_Completeren aanvraag,142,408,0.35,0.23,0.13,0.8
1 day,W_Afhandelen leads → A_DECLINED,34,408,0.08,0.35,0.13,1.73
1 day,W_Completeren aanvraag → W_Completeren aanvraag,459,408,1.13,0.24,0.12,0.88
1 day,W_Afhandelen leads → A_PREACCEPTED,31,408,0.08,0.04,0.01,0.1
1 day,A_DECLINED → W_Afhandelen leads,92,408,0.23,0.0,0.0,0.0
1 day,A_CANCELLED → W_Completeren aanvraag,103,408,0.25,0.0,0.0,0.0
1 day,A_SUBMITTED → A_PARTLYSUBMITTED,408,408,1.0,0.0,0.0,0.0
1 day,A_DECLINED → W_Completeren aanvraag,185,408,0.45,0.0,0.0,0.0
1 day,A_PARTLYSUBMITTED → A_PREACCEPTED,270,408,0.66,0.25,0.0,1.21
1 day,A_PREACCEPTED → W_Afhandelen leads,173,408,0.42,0.0,0.0,0.0
15-40 days,W_Completeren aanvraag → O_SENT_BACK,67,2884,0.02,6.45,6.11,10.01
15-40 days,W_Nabellen offertes → O_ACCEPTED,112,2884,0.04,3.43,3.36,6.06
15-40 days,W_Nabellen offertes → O_DECLINED,66,2884,0.02,3.31,3.18,6.12
15-40 days,W_Nabellen offertes → A_DECLINED,74,2884,0.03,3.11,3.07,5.45
15-40 days,W_Nabellen offertes → A_APPROVED,59,2884,0.02,3.18,3.02,5.89
15-40 days,W_Nabellen offertes → O_SENT_BACK,1362,2884,0.47,3.69,2.94,8.72
15-40 days,W_Nabellen offertes → W_Valideren aanvraag,1019,2884,0.35,2.85,2.89,6.06
15-40 days,W_Completeren aanvraag → W_Nabellen offertes,1924,2884,0.67,3.67,2.06,8.76
15-40 days,W_Nabellen offertes → W_Nabellen offertes,9637,2884,3.34,3.2,1.94,9.06
15-40 days,W_Nabellen incomplete dossiers → O_SENT_BACK,144,2884,0.05,2.05,1.16,5.74
15-40 days,W_Completeren aanvraag → W_Completeren aanvraag,7785,2884,2.7,1.98,0.54,12.86
15-40 days,W_Nabellen offertes → O_SELECTED,247,2884,0.09,1.84,0.28,7.18
15-40 days,A_PREACCEPTED → W_Completeren aanvraag,1274,2884,0.44,0.36,0.16,1.27
15-40 days,W_Nabellen incomplete dossiers → A_CANCELLED,42,2884,0.01,0.82,0.15,5.92
15-40 days,W_Nabellen incomplete dossiers → W_Nabellen incomplete dossiers,5083,2884,1.76,0.69,0.13,3.51
15-40 days,W_Afhandelen leads → W_Completeren aanvraag,629,2884,0.22,0.19,0.1,0.71
15-40 days,W_Nabellen incomplete dossiers → W_Valideren aanvraag,523,2884,0.18,0.49,0.08,2.72
15-40 days,W_Nabellen offertes → O_CANCELLED,657,2884,0.23,2.13,0.08,9.04
15-40 days,W_Nabellen incomplete dossiers → O_ACCEPTED,230,2884,0.08,0.34,0.07,1.67
15-40 days,W_Nabellen incomplete dossiers → A_APPROVED,99,2884,0.03,0.4,0.07,2.57
15-40 days,W_Nabellen incomplete dossiers → A_DECLINED,30,2884,0.01,0.58,0.06,3.83
15-40 days,W_Completeren aanvraag → A_ACCEPTED,1402,2884,0.49,0.35,0.06,1.82
15-40 days,W_Nabellen incomplete dossiers → A_ACTIVATED,47,2884,0.02,0.49,0.06,2.63
15-40 days,W_Nabellen incomplete dossiers → O_DECLINED,54,2884,0.02,0.3,0.05,1.55
15-40 days,W_Nabellen incomplete dossiers → A_REGISTERED,42,2884,0.01,0.29,0.05,0.98
15-40 days,W_Nabellen incomplete dossiers → O_SELECTED,71,2884,0.02,0.39,0.05,2.13
15-40 days,A_PARTLYSUBMITTED → W_Afhandelen leads,134,2884,0.05,0.36,0.05,1.61
15-40 days,W_Valideren aanvraag → O_CANCELLED,41,2884,0.01,0.36,0.04,2.57
15-40 days,W_Valideren aanvraag → W_Valideren aanvraag,1042,2884,0.36,0.48,0.04,2.84
15-40 days,W_Valideren aanvraag → W_Nabellen incomplete dossiers,1116,2884,0.39,0.09,0.04,0.25
15-40 days,W_Valideren aanvraag → O_SELECTED,41,2884,0.01,0.11,0.03,0.67
15-40 days,W_Valideren aanvraag → A_ACTIVATED,30,2884,0.01,0.18,0.03,0.68
15-40 days,A_PREACCEPTED → A_ACCEPTED,719,2884,0.25,0.2,0.03,0.88
15-40 days,W_Valideren aanvraag → O_DECLINED,55,2884,0.02,0.46,0.03,3.0
15-40 days,W_Valideren aanvraag → A_REGISTERED,37,2884,0.01,0.3,0.03,0.9
15-40 days,W_Nabellen incomplete dossiers → O_CANCELLED,88,2884,0.03,0.54,0.03,2.75
15-40 days,W_Valideren aanvraag → O_ACCEPTED,187,2884,0.06,0.34,0.02,2.43
15-40 days,W_Valideren aanvraag → A_APPROVED,92,2884,0.03,0.31,0.02,1.42
15-40 days,W_Afhandelen leads → A_ACCEPTED,262,2884,0.09,0.1,0.02,0.36
15-40 days,W_Valideren aanvraag → A_DECLINED,49,2884,0.02,0.51,0.02,2.92
15-40 days,W_Afhandelen leads → W_Afhandelen leads,79,2884,0.03,0.08,0.01,0.45
15-40 days,W_Afhandelen leads → A_PREACCEPTED,135,2884,0.05,0.06,0.01,0.15
15-40 days,O_DECLINED → W_Valideren aanvraag,133,2884,0.05,0.0,0.0,0.0
15-40 days,A_SUBMITTED → A_PARTLYSUBMITTED,2884,2884,1.0,0.0,0.0,0.0
15-40 days,O_SENT → W_Nabellen offertes,855,2884,0.3,0.0,0.0,0.0
15-40 days,A_ACTIVATED → W_Nabellen incomplete dossiers,37,2884,0.01,0.0,0.0,0.0
15-40 days,O_ACCEPTED → W_Valideren aanvraag,96,2884,0.03,0.0,0.0,0.0
15-40 days,A_DECLINED → W_Valideren aanvraag,150,2884,0.05,0.0,0.0,0.0
15-40 days,A_PARTLYSUBMITTED → A_PREACCEPTED,2744,2884,0.95,0.07,0.0,0.51
15-40 days,O_SENT_BACK → W_Nabellen offertes,1429,2884,0.5,0.0,0.0,0.0
15-40 days,A_CANCELLED → W_Nabellen offertes,183,2884,0.06,0.0,0.0,0.0
15-40 days,O_SENT → W_Valideren aanvraag,117,2884,0.04,0.0,0.0,0.0
15-40 days,O_SENT_BACK → W_Nabellen incomplete dossiers,150,2884,0.05,0.0,0.0,0.0
15-40 days,O_CREATED → O_SENT,3485,2884,1.21,0.0,0.0,0.0
15-40 days,W_Nabellen offertes → A_CANCELLED,435,2884,0.15,1.82,0.0,8.86
15-40 days,W_Completeren aanvraag → A_CANCELLED,463,2884,0.16,1.35,0.0,13.45
15-40 days,O_SELECTED → O_CANCELLED,549,2884,0.19,0.0,0.0,0.0
15-40 days,O_SENT → W_Completeren aanvraag,2375,2884,0.82,0.0,0.0,0.0
15-40 days,O_CANCELLED → A_CANCELLED,413,2884,0.14,0.0,0.0,0.0
15-40 days,A_APPROVED → A_REGISTERED,286,2884,0.1,0.0,0.0,0.0
15-40 days,A_REGISTERED → O_ACCEPTED,134,2884,0.05,0.0,0.0,0.0
15-40 days,O_CANCELLED → O_SELECTED,561,2884,0.19,0.0,0.0,0.0
15-40 days,W_Completeren aanvraag → O_CANCELLED,196,2884,0.07,1.15,0.0,7.11
15-40 days,A_ACTIVATED → A_APPROVED,203,2884,0.07,0.0,0.0,0.0
15-40 days,A_CANCELLED → O_CANCELLED,471,2884,0.16,0.0,0.0,0.0
15-40 days,A_REGISTERED → A_ACTIVATED,287,2884,0.1,0.0,0.0,0.0
15-40 days,O_SELECTED → O_CREATED,1548,2884,0.54,0.0,0.0,0.0
15-40 days,A_APPROVED → W_Valideren aanvraag,109,2884,0.04,0.0,0.0,0.0
15-40 days,O_ACCEPTED → A_REGISTERED,333,2884,0.12,0.0,0.0,0.0
15-40 days,O_CANCELLED → O_CREATED,549,2884,0.19,0.0,0.0,0.0
15-40 days,A_REGISTERED → W_Valideren aanvraag,276,2884,0.1,0.0,0.0,0.0
15-40 days,A_ACTIVATED → W_Valideren aanvraag,404,2884,0.14,0.0,0.0,0.0
15-40 days,A_ACCEPTED → O_SELECTED,1372,2884,0.48,0.0,0.0,0.01
15-40 days,O_CANCELLED → W_Nabellen offertes,188,2884,0.07,0.0,0.0,0.0
15-40 days,A_ACCEPTED → W_Completeren aanvraag,34,2884,0.01,0.01,0.0,0.01
15-40 days,A_ACCEPTED → A_FINALIZED,976,2884,0.34,0.0,0.0,0.01
15-40 days,O_SENT → W_Nabellen incomplete dossiers,138,2884,0.05,0.0,0.0,0.0
15-40 days,O_CANCELLED → W_Nabellen incomplete dossiers,42,2884,0.01,0.0,0.0,0.0
15-40 days,A_APPROVED → A_ACTIVATED,332,2884,0.12,0.0,0.0,0.0
15-40 days,A_FINALIZED → O_SELECTED,987,2884,0.34,0.0,0.0,0.0
15-40 days,O_ACCEPTED → A_ACTIVATED,264,2884,0.09,0.0,0.0,0.0
15-40 days,O_SELECTED → A_FINALIZED,1388,2884,0.48,0.0,0.0,0.0
15-40 days,A_ACTIVATED → A_REGISTERED,250,2884,0.09,0.0,0.0,0.0
15-40 days,A_REGISTERED → A_APPROVED,249,2884,0.09,0.0,0.0,0.0
15-40 days,O_DECLINED → A_DECLINED,175,2884,0.06,0.0,0.0,0.0
15-40 days,A_DECLINED → O_DECLINED,153,2884,0.05,0.0,0.0,0.0
15-40 days,A_APPROVED → O_ACCEPTED,230,2884,0.08,0.0,0.0,0.0
