previous_activity,activity,transition,transition_count,mean_wait_days,median_wait_days,p95_wait_days,max_wait_days
W_Completeren aanvraag,O_SENT_BACK,W_Completeren aanvraag → O_SENT_BACK,561,5.37,5.93,8.01,11.84
W_Nabellen offertes,A_REGISTERED,W_Nabellen offertes → A_REGISTERED,68,2.88,3.15,6.02,6.25
W_Nabellen offertes,A_APPROVED,W_Nabellen offertes → A_APPROVED,165,3.08,3.12,6.07,6.96
W_Nabellen offertes,A_ACTIVATED,W_Nabellen offertes → A_ACTIVATED,61,2.59,2.99,6.1,6.91
W_Nabellen offertes,O_SENT_BACK,W_Nabellen offertes → O_SENT_BACK,2693,3.59,2.97,7.79,18.08
W_Nabellen offertes,O_ACCEPTED,W_Nabellen offertes → O_ACCEPTED,350,2.83,2.93,6.05,7.04
W_Nabellen offertes,A_DECLINED,W_Nabellen offertes → A_DECLINED,199,2.67,2.79,5.78,8.32
W_Nabellen offertes,O_DECLINED,W_Nabellen offertes → O_DECLINED,196,2.78,2.31,5.88,9.07
W_Nabellen offertes,W_Valideren aanvraag,W_Nabellen offertes → W_Valideren aanvraag,2114,2.5,2.16,5.94,7.14
W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes → W_Nabellen offertes,13521,3.11,1.87,8.99,30.92
W_Nabellen incomplete dossiers,O_SENT_BACK,W_Nabellen incomplete dossiers → O_SENT_BACK,190,1.83,1.0,5.35,6.96
A_PARTLYSUBMITTED,W_Beoordelen fraude,A_PARTLYSUBMITTED → W_Beoordelen fraude,67,1.42,0.79,4.53,6.55
W_Nabellen offertes,O_SELECTED,W_Nabellen offertes → O_SELECTED,449,2.13,0.77,8.01,22.96
W_Nabellen offertes,A_CANCELLED,W_Nabellen offertes → A_CANCELLED,732,2.37,0.74,8.81,23.6
W_Nabellen offertes,O_CANCELLED,W_Nabellen offertes → O_CANCELLED,1133,2.34,0.7,8.88,30.55
W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag → W_Completeren aanvraag,12619,1.42,0.24,6.99,30.74
W_Nabellen incomplete dossiers,A_CANCELLED,W_Nabellen incomplete dossiers → A_CANCELLED,70,0.8,0.16,4.55,7.23
A_PREACCEPTED,W_Completeren aanvraag,A_PREACCEPTED → W_Completeren aanvraag,2793,0.36,0.15,1.31,2.55
W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers → W_Nabellen incomplete dossiers,8620,0.69,0.13,3.59,12.93
W_Afhandelen leads,W_Completeren aanvraag,W_Afhandelen leads → W_Completeren aanvraag,1597,0.19,0.1,0.74,2.77
W_Afhandelen leads,A_CANCELLED,W_Afhandelen leads → A_CANCELLED,61,0.21,0.09,0.71,1.86
W_Completeren aanvraag,A_DECLINED,W_Completeren aanvraag → A_DECLINED,685,0.52,0.09,1.92,17.06
A_PREACCEPTED,A_CANCELLED,A_PREACCEPTED → A_CANCELLED,134,0.27,0.09,1.14,1.69
W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Nabellen incomplete dossiers → W_Valideren aanvraag,879,0.47,0.07,2.72,7.11
W_Nabellen incomplete dossiers,A_APPROVED,W_Nabellen incomplete dossiers → A_APPROVED,168,0.36,0.07,1.92,3.83
W_Nabellen incomplete dossiers,O_ACCEPTED,W_Nabellen incomplete dossiers → O_ACCEPTED,444,0.35,0.07,1.72,3.62
W_Beoordelen fraude,A_DECLINED,W_Beoordelen fraude → A_DECLINED,64,0.44,0.07,2.58,3.08
A_PREACCEPTED,A_DECLINED,A_PREACCEPTED → A_DECLINED,160,0.26,0.07,0.89,1.77
W_Nabellen incomplete dossiers,A_ACTIVATED,W_Nabellen incomplete dossiers → A_ACTIVATED,85,0.4,0.06,2.17,5.75
W_Nabellen incomplete dossiers,O_SELECTED,W_Nabellen incomplete dossiers → O_SELECTED,99,0.33,0.06,1.12,4.7
A_PARTLYSUBMITTED,W_Afhandelen leads,A_PARTLYSUBMITTED → W_Afhandelen leads,760,0.27,0.05,1.1,3.24
W_Nabellen incomplete dossiers,A_REGISTERED,W_Nabellen incomplete dossiers → A_REGISTERED,89,0.27,0.05,0.96,2.95
W_Nabellen incomplete dossiers,O_DECLINED,W_Nabellen incomplete dossiers → O_DECLINED,90,0.26,0.05,1.01,2.73
W_Nabellen incomplete dossiers,A_DECLINED,W_Nabellen incomplete dossiers → A_DECLINED,67,0.35,0.05,2.11,4.9
W_Completeren aanvraag,A_ACCEPTED,W_Completeren aanvraag → A_ACCEPTED,2737,0.3,0.04,1.18,20.79
W_Valideren aanvraag,W_Valideren aanvraag,W_Valideren aanvraag → W_Valideren aanvraag,1928,0.5,0.04,2.89,14.93
W_Beoordelen fraude,W_Beoordelen fraude,W_Beoordelen fraude → W_Beoordelen fraude,89,0.56,0.04,3.1,4.0
W_Valideren aanvraag,A_DECLINED,W_Valideren aanvraag → A_DECLINED,113,0.44,0.04,2.63,5.84
W_Valideren aanvraag,O_CANCELLED,W_Valideren aanvraag → O_CANCELLED,64,0.31,0.04,2.32,3.99
