resource,lifecycle_transition,activity,timestamp,case_registration_date,case_id,amount_requested
112,COMPLETE,A_SUBMITTED,2011-10-31 22:37:12.411000+00:00,2011-10-31 22:37:12.411000+00:00,181190,15500
,COMPLETE,W_Completeren aanvraag,2011-10-11 09:17:38.766000+00:00,2011-10-10 21:30:06.312000+00:00,176072,15000
11121,COMPLETE,W_Nabellen incomplete dossiers,2011-11-30 09:16:53.791000+00:00,2011-11-01 10:48:09.508000+00:00,181246,20000
11200,COMPLETE,O_SELECTED,2011-10-10 20:19:39.936000+00:00,2011-10-10 19:29:21.642000+00:00,176033,7000
,COMPLETE,W_Nabellen offertes,2011-11-19 13:01:50.791000+00:00,2011-10-20 14:24:42.810000+00:00,178581,3000
10899,SCHEDULE,W_Valideren aanvraag,2012-01-25 11:41:30.889000+00:00,2011-12-29 19:33:44.525000+00:00,196524,20000
10789,START,W_Nabellen incomplete dossiers,2012-02-10 15:32:02.094000+00:00,2012-01-08 15:13:02.168000+00:00,199014,15000
112,COMPLETE,A_PARTLYSUBMITTED,2012-02-13 10:28:10.164000+00:00,2012-02-13 10:28:09.945000+00:00,208730,10000
,START,W_Completeren aanvraag,2011-12-09 13:14:49.813000+00:00,2011-12-08 21:12:52.988000+00:00,192337,22800
112,COMPLETE,A_SUBMITTED,2012-01-16 15:42:30.940000+00:00,2012-01-16 15:42:30.940000+00:00,201385,9000
10138,COMPLETE,A_ACTIVATED,2011-12-06 15:30:15.950000+00:00,2011-11-25 14:27:19.692000+00:00,188977,5000
11122,START,W_Nabellen incomplete dossiers,2011-11-04 17:50:02.832000+00:00,2011-10-17 19:46:04.976000+00:00,177624,22500
11121,COMPLETE,O_CREATED,2011-12-06 15:27:40.373000+00:00,2011-12-06 14:47:08.599000+00:00,191680,60000
112,COMPLETE,A_PREACCEPTED,2011-11-07 14:36:45.005000+00:00,2011-11-07 14:35:49.151000+00:00,182828,13000
10929,COMPLETE,O_CANCELLED,2012-01-04 13:21:04.515000+00:00,2011-12-27 12:57:10.232000+00:00,195803,25000
10881,START,W_Nabellen offertes,2011-11-02 19:35:48.609000+00:00,2011-10-05 15:58:03.155000+00:00,174818,15000
10972,START,W_Valideren aanvraag,2011-12-07 10:09:12.898000+00:00,2011-11-27 07:48:49.876000+00:00,189265,42500
11180,START,W_Nabellen offertes,2011-10-12 16:47:39.158000+00:00,2011-10-04 20:02:18.954000+00:00,174502,10000
112,COMPLETE,A_PARTLYSUBMITTED,2011-12-10 08:08:01.647000+00:00,2011-12-10 08:08:01.475000+00:00,192512,50000
11119,COMPLETE,W_Completeren aanvraag,2011-11-01 20:52:45.595000+00:00,2011-11-01 16:43:12.282000+00:00,181369,5000
11009,COMPLETE,O_SELECTED,2012-02-06 11:28:11.022000+00:00,2012-02-05 14:28:35.392000+00:00,206594,10000
10138,COMPLETE,W_Valideren aanvraag,2012-02-02 11:56:30.048000+00:00,2012-01-09 17:40:12.748000+00:00,199345,8500
11019,COMPLETE,A_DECLINED,2012-02-02 15:59:25.243000+00:00,2012-02-02 02:21:10.136000+00:00,205800,4500
10863,COMPLETE,O_CREATED,2011-11-14 14:50:03.178000+00:00,2011-11-11 19:14:25.364000+00:00,184652,10000
11000,START,W_Nabellen incomplete dossiers,2012-01-31 10:41:45.920000+00:00,2012-01-23 10:19:00.965000+00:00,203152,15000
10899,COMPLETE,W_Nabellen offertes,2011-12-29 12:04:26.289000+00:00,2011-12-20 18:42:02.448000+00:00,194749,10000
10789,SCHEDULE,W_Valideren aanvraag,2011-12-23 10:22:03.414000+00:00,2011-12-08 18:42:28.316000+00:00,192307,35000
112,COMPLETE,A_PARTLYSUBMITTED,2011-10-14 13:22:02.876000+00:00,2011-10-14 13:22:02.688000+00:00,176963,20000
11049,COMPLETE,W_Nabellen offertes,2012-02-27 11:33:18.532000+00:00,2012-02-10 18:28:53.431000+00:00,208244,50000
10789,COMPLETE,W_Nabellen incomplete dossiers,2012-01-06 12:14:45.231000+00:00,2011-12-18 03:17:24.499000+00:00,194293,25000
112,COMPLETE,A_PARTLYSUBMITTED,2012-02-12 16:55:13.831000+00:00,2012-02-12 16:55:13.571000+00:00,208604,15000
112,SCHEDULE,W_Completeren aanvraag,2012-01-24 19:17:00.733000+00:00,2012-01-24 19:16:21.898000+00:00,203702,10500
11169,START,W_Nabellen incomplete dossiers,2011-12-27 11:06:34.582000+00:00,2011-12-23 17:41:45.856000+00:00,195395,7800
11200,COMPLETE,A_DECLINED,2011-11-07 17:54:20.211000+00:00,2011-11-05 19:39:32.262000+00:00,182494,10000
,COMPLETE,W_Nabellen incomplete dossiers,2011-11-01 10:04:04.127000+00:00,2011-10-21 13:59:43.516000+00:00,178861,5000
11300,COMPLETE,W_Nabellen offertes,2012-02-29 16:17:24.898000+00:00,2012-02-20 15:27:34.321000+00:00,211158,5000
10910,COMPLETE,O_SENT,2011-11-14 11:21:00.669000+00:00,2011-11-13 20:19:57.822000+00:00,185045,26000
10932,COMPLETE,W_Completeren aanvraag,2012-01-09 11:36:11.855000+00:00,2012-01-09 10:29:16.339000+00:00,199183,20000
10913,START,W_Afhandelen leads,2011-10-07 18:18:57.570000+00:00,2011-10-07 18:16:57.018000+00:00,175437,15000
11049,COMPLETE,O_SENT_BACK,2012-02-06 10:33:50.679000+00:00,2012-01-23 23:48:38.658000+00:00,203440,28612
112,SCHEDULE,W_Completeren aanvraag,2011-12-27 14:22:32.894000+00:00,2011-12-27 14:21:55.265000+00:00,195827,30000
11122,COMPLETE,O_CREATED,2012-01-26 19:12:59.969000+00:00,2012-01-26 18:56:51.976000+00:00,204293,40000
11203,START,W_Nabellen incomplete dossiers,2012-02-15 14:55:10.315000+00:00,2012-02-06 17:00:01.182000+00:00,206865,6000
